id,category,subcategory,name,address,borough,zip,license_id,license_status,lat,lon,source,source_url
sla:0100-21-114049,liquor,Liquor Store,R & S 49 Liquor Corp,"92 ELIZABETH ST, NEW YORK, NY, 10013",Manhattan,10013,0100-21-114049,Active,40.71845,-73.99585,NYS Liquor Authority,https://data.ny.gov/d/9s3h-dpkz
sla:0100-21-114481,liquor,Liquor Store,"Wine Gallery Inc,The","576 6TH AVENUE, NEW YORK, NY, 10011",Manhattan,10011,0100-21-114481,Active,40.73889,-73.99572,NYS Liquor Authority,https://data.ny.gov/d/9s3h-dpkz
sla:0100-22-117152,liquor,Liquor Store,Sjs Nyc Inc,"741 E TREMONT AVE, BRONX, NY, 10457",Bronx,10457,0100-22-117152,Active,40.84468,-73.88965,NYS Liquor Authority,https://data.ny.gov/d/9s3h-dpkz
sla:0100-21-114942,liquor,Liquor Store,Guvita Wine House Inc,"1400 NOSTRAND AVE, BROOKLYN, NY, 11226",Brooklyn,11226,0100-21-114942,Active,40.65233,-73.94974,NYS Liquor Authority,https://data.ny.gov/d/9s3h-dpkz
sla:0100-23-126141,liquor,Liquor Store,Ryan Wine & Liquor Inc,"11 W 183RD ST, BRONX, NY, 10453",Bronx,10453,0100-23-126141,Active,40.85854,-73.90442,NYS Liquor Authority,https://data.ny.gov/d/9s3h-dpkz
sla:0100-24-131479,liquor,Liquor Store,Sunset Wine & Spirit Inc,"4423 5th Ave, Brooklyn, NY, 11220",Brooklyn,11220,0100-24-131479,Active,40.64806,-74.00723,NYS Liquor Authority,https://data.ny.gov/d/9s3h-dpkz
sla:0100-21-115844,liquor,Liquor Store,C & G Liquor Inc,"1648 BRUCKNER BLVD, BRONX, NY, 10473",Bronx,10473,0100-21-115844,Active,40.82335,-73.87382,NYS Liquor Authority,https://data.ny.gov/d/9s3h-dpkz
sla:0100-23-126533,liquor,Liquor Store,Hb Wines & Liquors Inc,"1806 CEDAR AVE, BRONX, NY, 10453",Bronx,10453,0100-23-126533,Active,40.85253,-73.92035,NYS Liquor Authority,https://data.ny.gov/d/9s3h-dpkz
sla:0100-22-116999,liquor,Liquor Store,Tipsy Llc,"584 MYRTLE AVE, BROOKLYN, NY, 11205",Brooklyn,11205,0100-22-116999,Active,40.69397,-73.9613,NYS Liquor Authority,https://data.ny.gov/d/9s3h-dpkz
sla:0100-23-124898,liquor,Liquor Store,76 Liquors Ltd,"1473 1ST AVENUE, NEW YORK, NY, 10021",Manhattan,10021,0100-23-124898,Active,40.77086,-73.95375,NYS Liquor Authority,https://data.ny.gov/d/9s3h-dpkz
sla:0100-21-114158,liquor,Liquor Store,Emily Winery Llc,"40-11 JUNCTION BLVD, CORONA, NY, 11368",Queens,11368,0100-21-114158,Active,40.74877,-73.86916,NYS Liquor Authority,https://data.ny.gov/d/9s3h-dpkz
sla:0100-25-102311,liquor,Liquor Store,Westchester Wine & Liquor Inc,"2399 WESTCHESTER AVE, BRONX, NY, 10461",Bronx,10461,0100-25-102311,Active,40.83704,-73.84642,NYS Liquor Authority,https://data.ny.gov/d/9s3h-dpkz
sla:0100-23-159727,liquor,Liquor Store,Winegeist Llc,"345 ATLANTIC AVE, BROOKLYN, NY, 11201",Brooklyn,11201,0100-23-159727,Active,40.68778,-73.98703,NYS Liquor Authority,https://data.ny.gov/d/9s3h-dpkz
sla:0100-23-126466,liquor,Liquor Store,A M P Winery Inc,"107 02 A 71ST AVE, FOREST HILLS, NY, 11375",Queens,11375,0100-23-126466,Active,40.71634,-73.8472,NYS Liquor Authority,https://data.ny.gov/d/9s3h-dpkz
sla:0100-21-116030,liquor,Liquor Store,C & C Ny Trading Inc,"15 13 COLLEGE POINT BLVD, COLLEGE POINT, NY, 11356",Queens,11356,0100-21-116030,Active,40.78644,-73.84572,NYS Liquor Authority,https://data.ny.gov/d/9s3h-dpkz
sla:0100-22-115770,liquor,Liquor Store,Sen Roosevelt Avenue Liquors Inc,"111-11 ROOSEVELT AVE, CORONA, NY, 11368",Queens,11368,0100-22-115770,Active,40.75171,-73.85545,NYS Liquor Authority,https://data.ny.gov/d/9s3h-dpkz
sla:0100-22-115836,liquor,Liquor Store,Linet Liquor Llc,"184 LEXINGTON AVE, NEW YORK, NY, 10016",Manhattan,10016,0100-22-115836,Active,40.74478,-73.9809,NYS Liquor Authority,https://data.ny.gov/d/9s3h-dpkz
sla:0100-22-117221,liquor,Liquor Store,Bedford N4 Wine Inc,"237 BEDFORD AVE, BROOKLYN, NY, 11211",Brooklyn,11211,0100-22-117221,Active,40.71599,-73.9597,NYS Liquor Authority,https://data.ny.gov/d/9s3h-dpkz
sla:0100-23-125812,liquor,Liquor Store,Bold Wine And Liquor Inc,"47-16 BROADWAY, ASTORIA, NY, 11103",Queens,11103,0100-23-125812,Active,40.75609,-73.91287,NYS Liquor Authority,https://data.ny.gov/d/9s3h-dpkz
sla:0100-23-126170,liquor,Liquor Store,Forever Thirsty Inc,"138-44 101ST AVE, JAMAICA, NY, 11435",Queens,11435,0100-23-126170,Active,40.69471,-73.80927,NYS Liquor Authority,https://data.ny.gov/d/9s3h-dpkz
sla:0100-23-125219,liquor,Liquor Store,336 Liquor Store Inc,"153 EAST 57TH STREET, NEW YORK, NY, 10022",Manhattan,10022,0100-23-125219,Active,40.76052,-73.96808,NYS Liquor Authority,https://data.ny.gov/d/9s3h-dpkz
sla:0100-21-116071,liquor,Liquor Store,Sooni Spirits Inc,"1387 HYLAN BLVD, STATEN ISLAND, NY, 10305",Staten Island,10305,0100-21-116071,Active,40.5947,-74.0864,NYS Liquor Authority,https://data.ny.gov/d/9s3h-dpkz
sla:0100-23-123663,liquor,Liquor Store,Burnside Wines & Liquors Corp,"189 W BURNSIDE AVE STORE 1, BRONX, NY, 10453",Bronx,10453,0100-23-123663,Active,40.85416,-73.91532,NYS Liquor Authority,https://data.ny.gov/d/9s3h-dpkz
sla:0100-23-126654,liquor,Liquor Store,Genesis Liquor Store Corp,"896A LAFAYETTE AVE -STORE #1, BROOKLYN, NY, 11221",Brooklyn,11221,0100-23-126654,Active,40.68673,-73.97888,NYS Liquor Authority,https://data.ny.gov/d/9s3h-dpkz
sla:0100-23-123554,liquor,Liquor Store,210-14 Murdock Liquors Inc,"210-14 MURDOCK AVE, CAMBRIA HEIGHTS, NY, 11411",Queens,11411,0100-23-123554,Active,40.70264,-73.7445,NYS Liquor Authority,https://data.ny.gov/d/9s3h-dpkz
sla:0100-22-117302,liquor,Liquor Store,Pure Wine Nyc Llc,"86 E 10TH ST, NEW YORK, NY, 10003",Manhattan,10003,0100-22-117302,Active,40.73102,-73.98975,NYS Liquor Authority,https://data.ny.gov/d/9s3h-dpkz
sla:0100-22-116811,liquor,Liquor Store,L & L Wines & Liquor Inc,"165 78 BAISLEY BLVD, JAMAICA, NY, 11434",Queens,11434,0100-22-116811,Active,40.67202,-73.78586,NYS Liquor Authority,https://data.ny.gov/d/9s3h-dpkz
sla:0100-22-116871,liquor,Liquor Store,Why Nose Llc,"69 CENTRAL AVE, BROOKLYN, NY, 11206",Brooklyn,11206,0100-22-116871,Active,40.70101,-73.93035,NYS Liquor Authority,https://data.ny.gov/d/9s3h-dpkz
sla:0100-23-126742,liquor,Liquor Store,693 Allerton Ave Liquors Inc,"689 691 ALLERTON AVENUE, BRONX, NY, 10467",Bronx,10467,0100-23-126742,Active,40.86545,-73.86767,NYS Liquor Authority,https://data.ny.gov/d/9s3h-dpkz
sla:0100-25-108771,liquor,Liquor Store,Ag Liquor And Wine Inc,"232-16 Merrick Blvd, Laurelton, NY, 11413",Queens,11413,0100-25-108771,Active,40.67497,-73.73719,NYS Liquor Authority,https://data.ny.gov/d/9s3h-dpkz
sla:0100-23-124379,liquor,Liquor Store,Il Vino Torchio Inc,"80 4TH AVE, BROOKLYN, NY, 11217",Brooklyn,11217,0100-23-124379,Active,40.68213,-73.97995,NYS Liquor Authority,https://data.ny.gov/d/9s3h-dpkz
sla:0100-22-116119,liquor,Liquor Store,Lin Wine & Liquors Inc,"118-04 JAMAICA AVE, RICHMOND HILL, NY, 11418",Queens,11418,0100-22-116119,Active,40.69983,-73.8316,NYS Liquor Authority,https://data.ny.gov/d/9s3h-dpkz
sla:0100-23-124876,liquor,Liquor Store,G & I Wine & Spirits Inc,"48 WILLOUGHBY ST, BROOKLYN, NY, 11201",Brooklyn,11201,0100-23-124876,Active,40.69222,-73.98691,NYS Liquor Authority,https://data.ny.gov/d/9s3h-dpkz
sla:0100-22-115652,liquor,Liquor Store,100 St Wine And Liquor Ny Inc,"2648 BROADWAY, NEW YORK, NY, 10025",Manhattan,10025,0100-22-115652,Active,40.79756,-73.96955,NYS Liquor Authority,https://data.ny.gov/d/9s3h-dpkz
sla:0100-23-124803,liquor,Liquor Store,Yong Jiu Inc,"2799 86TH ST, BROOKLYN, NY, 11223",Brooklyn,11223,0100-23-124803,Active,40.59312,-73.97924,NYS Liquor Authority,https://data.ny.gov/d/9s3h-dpkz
